source_path,category,confidence,reason,superseded_by,recommended_action,needs_user_decision,notes
docs/JMP_GSURv2_multi_year_extension_remediation_authorization_correction_v1.md,CORRECTION_INCORPORATED,HIGH,C1–C12 applied in-place to remediation_authorization_v1.md; parent is the live corrected document,docs/JMP_GSURv2_multi_year_extension_remediation_authorization_v1.md,ARCHIVE,NO,Two layers of correction (this + final_wording_fix) both applied; parent document is current
docs/JMP_GSURv2_multi_year_extension_remediation_authorization_final_wording_fix_v1.md,CORRECTION_INCORPORATED,HIGH,F1–F3 applied in-place to remediation_authorization_v1.md; second-layer fix document,docs/JMP_GSURv2_multi_year_extension_remediation_authorization_v1.md,ARCHIVE,NO,Applied after correction_v1; both correction docs now archivable together
docs/JMP_GSURv2_y2016_provenance_lock_plan_correction_v1.md,CORRECTION_INCORPORATED,HIGH,F1–F2 applied in-place to y2016_provenance_lock_plan_v1.md; parent is live corrected document,docs/JMP_GSURv2_y2016_provenance_lock_plan_v1.md,ARCHIVE,NO,
docs/JMP_GSURv2_multi_year_extension_construction_authorization_correction_v1.md,CORRECTION_INCORPORATED,HIGH,Heading and scope corrections applied in-place to construction_authorization_v1.md; parent is live,docs/JMP_GSURv2_multi_year_extension_construction_authorization_v1.md,ARCHIVE,NO,
docs/JMP_GSURv2_script_remediation_documentation_fix_v1.md,CORRECTION_INCORPORATED,HIGH,F1–F2 applied to script_remediation_report_v1.md and Results/script_remediation_static_validation_v1.md; both parents live,docs/JMP_GSURv2_script_remediation_report_v1.md,ARCHIVE,NO,
docs/JMP_multi_year_sample_construction_descriptives_correction_report_v1.md,CORRECTION_INCORPORATED,HIGH,C1–C4 applied in-place to sample_construction_descriptives_report_v1.md; parent is live,docs/JMP_multi_year_sample_construction_descriptives_report_v1.md,ARCHIVE,NO,
docs/JMP_multi_year_stage_M1_execution_readiness_report_v1.md,CLEAR_SUPERSEDED,HIGH,v2 header explicitly states "Supersedes v1 (2026-05-19)"; v1 verdict was NOT AUTHORIZED; v2 verdict is READY,docs/JMP_multi_year_stage_M1_execution_readiness_report_v2.md,ARCHIVE,NO,
docs/JMP_single_year_replication_2015_2017_command_plan_v1.md,CLEAR_SUPERSEDED,HIGH,v2 header states "Supersedes v1"; CLI flag corrections applied; v2 is active,docs/JMP_single_year_replication_2015_2017_command_plan_v2.md,ARCHIVE,NO,
Results/M1_identity_validation_summary.md,ADDENDUM_INCORPORATED,HIGH,Low-level validation output captured verbatim in full_execution_report_v1.md §13; no independent substance,Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,ARCHIVE,NO,
Results/JMP_multi_year_stage_M1_P3a_full_execution_addendum_v1.md,ADDENDUM_INCORPORATED,MEDIUM,Corrections to §30 of full_execution_report and welfare auth status documented; substance captured in P3a_construction_verdict_v1; addendum cited in construction verdict header,docs/JMP_multi_year_stage_M1_P3a_construction_verdict_v1.md,ARCHIVE,NO,Construction verdict is the accepted synthesizing document; addendum no longer operationally needed
docs/JMP_GSURv2_multi_year_extension_implementation_audit_addendum_v1.md,ADDENDUM_INCORPORATED,MEDIUM,Remediation prerequisites (C1–C7 + external files) now satisfied and documented in remediation authorization chain; addendum is cited in remediation_authorization_v1.md header,docs/JMP_GSURv2_multi_year_extension_remediation_authorization_v1.md,ARCHIVE,NO,Cited as reference but not as a decision document; substance fully incorporated in authorization
docs/JMP_single_year_replication_2015_2017_command_plan_addendum_v1.md,ADDENDUM_INCORPORATED,MEDIUM,GSUR keying correction incorporated into executed rebuild reports; command plan v2 + this addendum together represent the authoritative command,docs/JMP_single_year_replication_2015_2017_command_plan_v2.md,ARCHIVE,NO,Both command plan v2 and addendum should be KEPT together or archived together; if v2 is kept this addendum could be archived
docs/RURO_GSUR_O7_crosswalk_signoff_request_v1.md,CORRECTION_INCORPORATED,MEDIUM,Request satisfied by RURO_GSUR_O7_crosswalk_signoff_v1.md; no decision content — pure process record,docs/RURO_GSUR_O7_crosswalk_signoff_v1.md,ARCHIVE,NO,Sign-off itself (RURO_GSUR_O7_crosswalk_signoff_v1.md) is UNCERTAIN — see next row
docs/RURO_GSUR_external_acquisition_completion_v1.md,CLEAR_SUPERSEDED,MEDIUM,PARTIAL ACQUISITION SUCCESS verdict; O2 gap resolved by O2_denominator_resolution_v1.md; full status synthesized in RURO_GSUR_StageA_authorization_v1.md,docs/RURO_GSUR_StageA_authorization_v1.md,ARCHIVE,NO,O2 resolution memo also archivable — see next row
docs/RURO_GSUR_O2_denominator_resolution_v1.md,CORRECTION_INCORPORATED,MEDIUM,O2 resolution findings incorporated into v2_1_open_decisions_resolution_v1.md as amendment; that memo is the binding record,docs/RURO_GSUR_v2_1_open_decisions_resolution_v1.md,ARCHIVE,NO,
