source_path,archive_path,category,reason,superseded_by,safe_to_archive,notes
docs/RURO_GSUR_rebuild_specification_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/RURO_GSUR_rebuild_specification_v1.md,SUPERSEDED,Two successive corrections applied; v2_1 is canonical,docs/RURO_GSUR_rebuild_specification_v2_1.md,YES,v2 also superseded; both archived
docs/RURO_GSUR_rebuild_specification_v2.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/RURO_GSUR_rebuild_specification_v2.md,SUPERSEDED,Replaced by final correction v2_1,docs/RURO_GSUR_rebuild_specification_v2_1.md,YES,v1 also superseded; both archived
docs/RURO_GSUR_external_acquisition_decision_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/RURO_GSUR_external_acquisition_decision_v1.md,SUPERSEDED,Three corrections applied in v2; v2 is canonical,docs/RURO_GSUR_external_acquisition_decision_v2.md,YES,
docs/JMP_multi_year_and_cross_validation_strategy_memo_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_and_cross_validation_strategy_memo_v1.md,SUPERSEDED,Successive corrections led to v3 and v3_1 as canonical,docs/JMP_multi_year_and_cross_validation_strategy_memo_v3_1.md,YES,v2 also superseded; both archived
docs/JMP_multi_year_and_cross_validation_strategy_memo_v2.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_and_cross_validation_strategy_memo_v2.md,SUPERSEDED,Superseded by v3 and v3_1,docs/JMP_multi_year_and_cross_validation_strategy_memo_v3_1.md,YES,v1 also superseded; both archived
docs/JMP_welfare_measurement_decisions_memo_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_welfare_measurement_decisions_memo_v1.md,SUPERSEDED,Superseded by corrected v2,docs/JMP_welfare_measurement_decisions_memo_v2.md,YES,
docs/JMP_welfare_scaffolding_design_memo_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_welfare_scaffolding_design_memo_v1.md,SUPERSEDED,Superseded by corrected v2,docs/JMP_welfare_scaffolding_design_memo_v2.md,YES,
docs/JMP_multi_year_stage_M1_implementation_plan_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_stage_M1_implementation_plan_v1.md,SUPERSEDED,Superseded by revised plan v2,docs/JMP_multi_year_stage_M1_implementation_plan_v2.md,YES,
docs/RURO_occ_M1_clean_design_memo_v1.md,docs/archive/2026-05-20_post_gsurv2_mnl_rebuild/RURO_occ_M1_clean_design_memo_v1.md,SUPERSEDED,Superseded by revised design memo v2,docs/RURO_occ_M1_clean_design_memo_v2.md,YES,
Results/JMP_multi_year_feasibility_audit_addendum_v1.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_feasibility_audit_addendum_v1.md,SUPERSEDED,Corrected version v2 exists,Results/JMP_multi_year_feasibility_audit_addendum_v2.md,YES,
Results/JMP_multi_year_stage_M1_static_validation_report_v1.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_stage_M1_static_validation_report_v1.md,SUPERSEDED,Two successive corrections; v3 is canonical,Results/JMP_multi_year_stage_M1_static_validation_report_v3.md,YES,v2 also superseded; both archived
Results/JMP_multi_year_stage_M1_static_validation_report_v2.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_stage_M1_static_validation_report_v2.md,SUPERSEDED,Superseded by v3,Results/JMP_multi_year_stage_M1_static_validation_report_v3.md,YES,v1 also superseded; both archived
Results/JMP_multi_year_stage_M1_readiness_addendum_v1.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_stage_M1_readiness_addendum_v1.md,SUPERSEDED,Corrected version v2 exists,Results/JMP_multi_year_stage_M1_readiness_addendum_v2.md,YES,
Results/JMP_multi_year_stage_M1_P3a_execution_report_v1.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_multi_year_stage_M1_P3a_execution_report_v1.md,SUPERSEDED,Couples-only partial execution; superseded by full singles+couples execution report,Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,YES,Archived couples-only parquet also moved to Data/processed/fr/pooled/archive_couples_only_20260520_120132/ per addendum v1 §3
Results/JMP_GSURv2_MNL_rebuild_report_v1.md,Results/archive/2026-05-20_post_gsurv2_mnl_rebuild/JMP_GSURv2_MNL_rebuild_report_v1.md,SUPERSEDED,Superseded by v2 with required headings and authorized-stem filenames,Results/JMP_GSURv2_MNL_rebuild_report_v2.md,YES,Correction documented in Results/JMP_GSURv2_MNL_rebuild_correction_report_v1.md
